sl_mult,rr,trades,wins,losses,timeouts,win_rate,avg_win_pct,avg_loss_pct,ev_pct,ev_eur,total_pnl_eur,net_after_tax,ann_net_eur,ann_pct,max_dd_pct,max_consec_l,avg_bars
1.5,4.0,943,268,579,96,28.4,39.48,-9.37,4.508,22.54,34876.0,25808.0,4077.0,20.4,1.4,20,18.9
1.5,3.0,962,356,555,51,37.0,29.1,-9.4,4.847,24.23,29269.0,21659.0,3422.0,17.1,0.7,20,16.3
1.5,2.0,972,452,510,10,46.5,19.14,-9.4,3.872,19.36,19602.0,14505.0,2292.0,11.5,1.0,19,11.4
2.0,4.0,924,197,511,216,21.3,53.02,-12.26,1.661,8.3,44238.0,32736.0,5172.0,25.9,1.8,13,26.0
2.0,3.0,936,300,501,135,32.1,39.56,-12.22,4.375,21.88,38913.0,28795.0,4549.0,22.7,1.8,13,23.0
2.0,2.0,961,445,462,54,46.3,25.72,-12.25,5.33,26.65,31017.0,22953.0,3626.0,18.1,0.9,13,17.9
2.5,4.0,903,135,435,333,15.0,69.39,-15.02,-2.401,-12.01,52805.0,39076.0,6173.0,30.9,2.3,13,31.6
2.5,3.0,911,233,431,247,25.6,50.48,-15.03,1.724,8.62,48250.0,35705.0,5641.0,28.2,2.3,14,29.1
2.5,2.0,938,397,406,135,42.3,32.4,-15.02,5.052,25.26,40347.0,29857.0,4717.0,23.6,1.1,13,24.2
3.0,4.0,891,91,359,441,10.2,86.67,-17.61,-6.957,-34.79,59727.0,44198.0,6982.0,34.9,2.7,13,36.3
3.0,3.0,901,176,356,369,19.5,60.95,-17.62,-2.27,-11.35,56841.0,42062.0,6645.0,33.2,2.7,12,34.3
3.0,2.0,918,339,348,231,36.9,39.43,-17.54,3.498,17.49,48585.0,35953.0,5680.0,28.4,2.7,11,29.7
